statement,label
CLASP1,0
NR2F2,1
FNBP1,1
TSC1,1
TEX36,0
ZGLP1,0
ERG,1
ZNF385A,0
SRSF2,1
SEPT5,1
THRAP3,1
HYAL4,0
STX4,0
TSC2,1
FOXL3,0
RARRES1,0
KDSR,1
BCLAF1,1
SBDS,1
LGI2,0
ZNRF3,1
ERBB2,1
CHURC1,0
CHD8,0
SAMD3,0
C15orf65,1
FGFR3,1
MUC1,1
AMER1,1
PARVB,0
PAX8,1
GTF2I,1
ZNF41,0
SIPA1L2,0
NAAA,0
CFAP44,0
SDSL,0
PRKCB,1
MAP2K4,1
TBL1XR1,1
OR5C1,0
RPS23,0
GNA11,1
COG6,0
ZNF202,0
MAX,1
A4GALT,0
GVQW2,0
C1QL3,0
FHIT,1
CREB1,1
CTNND2,1
CUX1,1
POU2AF1,1
FCGR2B,1
PIM1,1
FAT3,1
GSTM4,0
BST1,0
REXO4,0
SETD2,1
RAPH1,0
ABI1,1
NIT2,0
ATM,1
INTS6L,0
BRWD1,0
STARD8,0
REL,1
EGFR,1
PON3,0
ELOVL7,0
GJA4,0
NUTM2B,1
KCNA10,0
BRIP1,1
EFL1,0
SMIM11A,0
SNX29,1
GYG1,0
FGFR1OP,1
MYH9,1
RIF1,0
CASP8,1
CST1,0
DLGAP3,0
MUTYH,1
OR4A5,0
MMP21,0
PRDM16,1
CA10,0
SNORD1B,0
HCG4B,0
CACNG3,0
PTPRD,1
FEV,1
NICN1,0
TRB,1
NDST3,0
TFRC,1
OVOL1,0
NXPH4,0
COL3A1,1
SS18L1,1
LATS1,1
ZEB1,1
BRD4,1
FOXP1,1
CNOT6L,0
MSN,1
ALDH2,1
CGN,0
RALGDS,1
CC2D1A,0
ZC3H11A,0
EP300,1
TPGS2,0
ARAP2,0
TMEM74,0
TRIP11,1
INIP,0
PTK6,1
GABBR1,0
HDHD2,0
CCDC6,1
MLLT6,1
MAP2K1,1
CASP3,1
MXRA5,0
NETO1,0
CD28,1
STAG1,1
TAF1B,0
BCL10,1
VTI1A,1
CENPM,0
CAD,0
RB1,1
BRCA2,1
LARP4B,1
MRC2,0
NAB2,1
FANK1,0
TFG,1
RYR3,0
RMI2,1
LCA5,0
KCNJ6,0
OR9G4,0
GFOD2,0
GRM8,0
TSPAN2,0
RRAS2,1
CDKN1A,1
LRATD2,0
ADGRL1,0
AFF4,1
PTPRT,1
MSL2,0
GLRX5,0
SMCR5,0
NAALAD2,0
LRRIQ3,0
SH3GL1,1
ZCCHC8,1
CEP19,0
MAST4,0
PBX1,1
TNFRSF17,1
RAP1GDS1,1
EFCAB14,0
CDKN2C,1
PROM2,0
CBLN3,0
MDM2,1
PAQR7,0
ARHGAP35,1
POLG,1
MLLT11,1
FGFR1,1
ELF3,1
ABL1,1
SMARCD1,1
TAL1,1
FBXO34,0
ZNF740,0
KMT2D,1
LRIG3,1
ZHX1,0
SETDB1,1
EIPR1,0
RBM10,1
PKD2L2,0
MUC19,0
PNOC,0
MYOD1,1
CANT1,1
ARNT,1
FAM27L,0
AKT1,1
NUMA1,1
CDKN2A,1
EPHA3,1
ITGAV,1
PPP2R1A,1
HMGXB4,0
ECT2L,1
AMER2,0
CDH10,1
NBN,1
H2AC1,0
KRAS,1
TARID,0
CMTR2,0
PXDC1,0
OR6V1,0
KEAP1,1
NFATC2,1
GLE1,0
CTNNB1,1
FSIP1,0
GTF2E1,0
ARHGAP5,1
U2AF1,1
EPS8L1,0
CPNE5,0
KLF6,1
XPO1,1
GLB1L,0
ARHGEF10,1
ASXL1,1
OPN4,0
NTRK2,1
GPATCH3,0
GLI1,1
USP34,0
FCGR1B,0
TSKU,0
PDE4DIP,1
NPM3,0
UNK,0
LTV1,0
PSMA8,0
GPC5,1
SMARCE1,1
ATR,1
IKZF1,1
ALK,1
POLQ,1
TPST1,0
PCM1,1
EXOSC3,0
WIPF3,0
POU5F1,1
ERCC5,1
SYT11,0
CYP3A43,0
NCOA1,1
MNX1,1
GOLGA5,1
SLC7A6OS,0
AK8,0
GOSR2,0
GLYCTK,0
WIF1,1
ATXN3L,0
MYB,1
ARAF,1
EFCAB5,0
STRN,1
PRRT4,0
KRT23,0
PAFAH1B2,1
DEFA6,0
NIBAN2,0
ASXL3,0
CTNNA1,1
PLCH2,0
TSR1,0
FAM135B,1
ARRDC3,0
SFR1,0
ERC1,1
GFOD1,0
SLC35E4,0
TMEM18,0
MYC,1
SLC39A11,0
NPM1,1
NRXN2,0
HPS6,0
TPM4,1
SUN5,0
IL6ST,1
SENP5,0
BARD1,1
USP6,1
FAS,1
TCF7L2,1
NRAP,0
DNAH11,0
FOXO3,1
CCT5,0
EFHB,0
NRAS,1
CRADD,0
EPS15,1
IDH1,1
RNF43,1
BBIP1,0
MEN1,1
USP9X,1
NYX,0
FSHB,0
CRTC3,1
CDH11,1
CEPT1,0
TXNDC5,0
NWD1,0
SCFD2,0
ARMC2,0
BCL9,1
CUL3,1
SGK1,1
MED23,0
HRH4,0
DYTN,0
FH,1
MAGEB5,0
NT5C2,1
MECOM,1
PPM1D,1
NFIB,1
NMS,0
OR52I1,0
MYD88,1
TRPM2,0
NSD2,1
PHOX2B,1
GABRQ,0
ID3,1
IDI2,0
PTCH1,1
TMEM185B,0
BAP1,1
FLI1,1
TAMM41,0
FGFR2,1
HRAS,1
GPC3,1
KIAA1549,1
CYSLTR2,1
OR52M1,0
CD209,1
MYO3B,0
STAG2,1
SFRP4,1
TAF9,0
GJB7,0
KIT,1
CPNE9,0
MEG9,0
DCAF12L2,1
LCK,1
CAV3,0
ITPKC,0
WWC3,0
CCND3,1
BIRC6,1
SUZ12,1
FANCC,1
IDH2,1
DTWD2,0
TRIM7,0
PABPC1,1
HGF,1
SNORA15,0
TPK1,0
WDR90,0
RAD21,1
SSX4,1
UCHL3,0
NUP214,1
MOB3C,0
LPP,1
NOTCH1,1
GPR153,0
ETV5,1
SEPT9,1
RALYL,0
KLF4,1
TOE1,0
ISL2,0
C18orf15,0
PLEC,1
BCL11A,1
CLK3,0
MPEG1,0
IL21R,1
WT1,1
NCKIPSD,1
DDX6,1
ZNF707,0
CXCR4,1
C9orf64,0
CT47B1,0
NPIPB7,0
FAM47C,1
JPT1,0
JAK1,1
DDR2,1
SOS1,1
PDSS1,0
IKBKB,1
CIB4,0
BTBD6,0
SMARCD3,0
ZNF843,0
DCTN1,1
MSMO1,0
ZNF410,0
PPARG,1
SRGAP3,1
ZNF345,0
TAL2,1
NDRG1,1
GABRE,0
SIX1,1
SH2B3,1
HMGN2P46,1
BMPR1A,1
IRS4,1
MYCL,1
DDX39B,0
ARHGEF12,1
MBIP,0
ERICH2,0
SYNJ2BP,0
KMT2C,1
EXT2,1
SF3B3,0
OR10W1,0
DDB2,1
SYTL3,0
SNORD33,0
NOL3,0
ZDHHC6,0
MLLT1,1
KCTD15,0
PNPO,0
VSTM1,0
ALG10B,0
PICALM,1
PTPN11,1
MET,1
CDNF,0
KRCC1,0
BTG1,1
SEC63,0
ABL2,1
NDUFA5,0
DDX10,1
HIST1H3B,1
POLR2B,0
STOML2,0
CHST11,1
PLSCR2,0
TENT5C,1
CCDC85B,0
TP53,1
AXIN1,1
OR11L1,0
TUBB8B,0
KRT85,0
CHCHD7,1
CNTNAP2,1
TRD,1
OR2J2,0
BEST4,0
TF,0
RAI14,0
ERBB4,1
SET,1
RIN2,0
PINLYP,0
RPN1,1
TRRAP,1
FAM224B,0
RRAGB,0
SMAD1,0
TEX35,0
RSPO3,1
IGF2BP2,1
MTFR1L,0
FLCN,1
EIF4A2,1
PDGFB,1
MRPS36,0
ASPSCR1,1
FUS,1
CSMD3,1
UBE3B,0
DCPS,0
CDX2,1
POMT2,0
IGFL1,0
BCL9L,1
SOWAHD,0
XPC,1
EBF1,1
HOXA9,1
USP8,1
SIX2,1
HTR1D,0
INPP4A,0
ACVR1B,1
OR12D2,0
FAM237A,0
PHF2,0
ATP1A1,1
PUF60,0
LHX3,0
IGSF1,0
OR4Q3,0
HOOK3,1
ALKBH4,0
