statement,label
ZMYM3,1
ARID2,1
AXIN1,1
WRN,1
IFW1,0
YK,0
RHEL,0
KAEZ,0
TPM4,1
LW7,0
CDH11,1
NUMA1,1
TZYNTW8L,0
MRNCTB,0
BCOR,1
FANCE,1
SMARCE1,1
XZIEY8,0
STK11,1
FKBP9,1
HEY1,1
LG,0
DROSHA,1
CASP3,1
FAM47C,1
ERBB3,1
NKXD,0
MAP2K1,1
RNT1,0
PLO13D,0
MSH2,1
AXIN2,1
CDKN1B,1
FOD,0
ZRZSM,0
BCR,1
SLVRQ,0
KQQFW9,0
FLBLIKIZ,0
MRTFA,1
JE5,0
LJWL2,0
LTVEKA,0
NCKIPSD,1
HOHVCY,0
NZDKH1F,0
KRAS,1
HIHEVF,0
B2M,1
NCOA4,1
WZEQ9,0
ABL1,1
RZSJZ621,0
MMIMNN0,0
MUZ,0
WTZB,0
KNL1,1
FBXO11,1
BCORL1,1
SMC1A,1
MOFEM0,0
GNA11,1
NP2,0
MAF,1
RMY,0
ERBB2,1
CLIP1,1
WCY,0
CYSLTR2,1
OB9,0
OJM5,0
SGK1,1
KMT2C,1
POLR2A,1
QDRJ,0
PRRX1,1
DC6,0
RZNH,0
CDH1,1
CHCHD7,1
VLT8,0
UJ2YU,0
LMO2,1
UKGQ1,0
BBDHFH3,0
STAT3,1
MYH9,1
CUX1,1
RFXHNW,0
PMLB2,0
FGFR4,1
FLCN,1
SDHD,1
KWMB3,0
LEF1,1
CHD4,1
IL6ST,1
PRCC,1
DRA0,0
RECQL4,1
MYOD1,1
SS18,1
MSN,1
SNROJ,0
PIK3R2,1
UNPBKMD,0
MED12,1
OOIWPF5,0
IHXFI8WJ,0
HOXA9,1
MW,0
LATS1,1
VDUP5JE,0
TMEM127,1
BJ,0
FZXRM,0
PWWP2A,1
PRKCB,1
CALR,1
ERCC5,1
PDGFB,1
WAS,1
FTQZOH0,0
BLNZ,0
PTCH1,1
RMI2,1
VMWTO3,0
NUTM2B,1
MGMT,1
EIF4A2,1
KAROTA8,0
RGS7,1
SALL4,1
EPHA3,1
VR6,0
IKL7,0
KXFVSL0,0
GW4,0
KLF6,1
IGH,1
TNC,1
OLIG2,1
NPM1,1
UUMXPT1,0
FGFR1,1
XWOOG2,0
MFEAUA2,0
SPECC1,1
CDX2,1
WNK2,1
BXBF4,0
EFAGKR8,0
KAT6B,1
HYJTR7,0
SB,0
MQKT9,0
YCODBJ6,0
CCR7,1
NZ4,0
AKAP9,1
EYGAY,0
FGFR1OP,1
KR,0
FH,1
RNF213,1
SRSF2,1
NTRK3,1
SRGAP3,1
VHL,1
XGAPKE8,0
SSX4,1
ZSB5W,0
BCL6,1
WXTY3,0
NR4A3,1
NBSPG,0
CY0,0
KHYW,0
CMZQ7,0
HORA,0
JAK3,1
WFMKFX2,0
CBFA2T3,1
XRRCAW0G,0
XMUI3,0
DJXL45,0
ZCCHC8,1
IMCA,0
AIGB1IA,0
KFKESI9,0
NT5C2,1
PTPN6,1
GPC3,1
CACNA1D,1
DEBG,0
LPP,1
CAADOY,0
FANCF,1
CLTCL1,1
CD74,1
DDX10,1
DBDP1,0
JAZF1,1
SBDS,1
HERPUD1,1
BCL7A,1
MXF2,0
ELF4,1
ZG8,0
FLT3,1
AKCKUV,0
HIP1,1
PMXUT8,0
JEJ4QO,0
ELL,1
STAG2,1
BIRC6,1
PTPRC,1
SRKWTI,0
SJ0,0
SGW9,0
PIK3CA,1
PPP2R1A,1
PDPRRE,0
PVS4,0
SPEN,1
ASPSCR1,1
VS8,0
GNAS,1
EYQDOO,0
TP53,1
LSM14A,1
WFSOX9,0
WF,0
ARHGAP26,1
USP9X,1
PAX7,1
TT,0
ZNF429,1
IGK,1
NTRK2,1
RPL5,1
JRZI9,0
RAD21,1
GUD,0
AJSX2,0
HNF1A,1
FIP1L1,1
NDFU9,0
NDIDW,0
TGFBR2,1
SXDMW4,0
SEPT6,1
LCK,1
ATIDQE5,0
MMI,0
JG6W,0
AOFDVG3,0
VH,0
CREB3L2,1
MUC6,1
REL,1
ETV6,1
ITGAV,1
LYL1,1
VNWVF,0
FOXA1,1
WT1,1
FHPXD1,0
ATP2B3,1
NI,0
BIX,0
BY65,0
DJUHAP0,0
NT,0
LMEWGF5,0
TSC1,1
XOBPLZ,0
RDYI,0
QEA,0
HSYE4,0
YQBZ7,0
ZMYM2,1
PATZ1,1
EPT0,0
CJG6,0
PDGFRB,1
YBH,0
GATA2,1
SYK,1
SET,1
RARA,1
EDEZB3H,0
HRAS,1
NFE2L2,1
YWCDOX7,0
SOS1,1
MALT1,1
DJV,0
KAT6A,1
KMT2D,1
RFWD3,1
WUIATLI4,0
POT1,1
DDB2,1
EBF1,1
CUL3,1
DFLT8,0
MAML2,1
PGFVGQ0,0
ZPWMR3,0
RABEP1,1
